"ID_STAZ","DATARIL","VALORE"
"740","2020-07-02 03:00:00.0","21.50"
"740","2020-07-02 04:00:00.0","21.60"
"740","2020-07-02 05:00:00.0","21.70"
"740","2020-07-02 06:00:00.0","24.00"
"740","2020-07-02 07:00:00.0","28.90"
"740","2020-07-02 08:00:00.0","32.30"
"740","2020-07-02 09:00:00.0","33.70"
"740","2020-07-02 10:00:00.0","34.30"
"740","2020-07-02 11:00:00.0","34.60"
"740","2020-07-02 12:00:00.0","34.50"
"740","2020-07-02 13:00:00.0","33.50"
"740","2020-07-02 14:00:00.0","32.70"
"740","2020-07-02 15:00:00.0","30.90"
"740","2020-07-02 16:00:00.0","30.00"
"740","2020-07-02 17:00:00.0","29.60"
"740","2020-07-02 18:00:00.0","27.10"
"740","2020-07-02 19:00:00.0","23.70"
"740","2020-07-02 20:00:00.0","21.40"
"740","2020-07-02 21:00:00.0","20.40"
"740","2020-07-02 22:00:00.0","20.20"
"740","2020-07-02 23:00:00.0","19.80"
"747","2020-07-02 00:00:00.0","21.20"
"747","2020-07-02 01:00:00.0","20.80"
"747","2020-07-02 02:00:00.0","20.20"
"747","2020-07-02 03:00:00.0","19.70"
"747","2020-07-02 04:00:00.0","19.40"
"747","2020-07-02 05:00:00.0","20.50"
"747","2020-07-02 06:00:00.0","23.10"
"747","2020-07-02 07:00:00.0","26.70"
"747","2020-07-02 08:00:00.0","31.30"
"747","2020-07-02 09:00:00.0","34.30"
"747","2020-07-02 10:00:00.0","36.00"
"747","2020-07-02 11:00:00.0","35.30"
"747","2020-07-02 12:00:00.0","34.10"
"747","2020-07-02 13:00:00.0","33.80"
"747","2020-07-02 14:00:00.0","32.70"
"747","2020-07-02 15:00:00.0","31.50"
"747","2020-07-02 16:00:00.0","28.90"
"747","2020-07-02 17:00:00.0","28.10"
"747","2020-07-02 18:00:00.0","26.00"
"747","2020-07-02 19:00:00.0","22.80"
"747","2020-07-02 20:00:00.0","21.60"
"747","2020-07-02 21:00:00.0","21.00"
"747","2020-07-02 22:00:00.0","20.60"
"747","2020-07-02 23:00:00.0","20.90"
"1385","2020-07-02 00:00:00.0","23.40"
"1385","2020-07-02 01:00:00.0","23.20"
"1385","2020-07-02 02:00:00.0","23.20"
"1385","2020-07-02 03:00:00.0","23.20"
"1385","2020-07-02 04:00:00.0","23.10"
"1385","2020-07-02 05:00:00.0","22.60"
"1385","2020-07-02 06:00:00.0","24.70"
"1385","2020-07-02 07:00:00.0","27.10"
"1385","2020-07-02 08:00:00.0","28.30"
"1385","2020-07-02 09:00:00.0","31.90"
"1385","2020-07-02 10:00:00.0","34.00"
"1385","2020-07-02 11:00:00.0","34.50"
"1385","2020-07-02 12:00:00.0","34.80"
"1385","2020-07-02 13:00:00.0","35.60"
"1385","2020-07-02 14:00:00.0","34.90"
"1385","2020-07-02 15:00:00.0","33.90"
"1385","2020-07-02 16:00:00.0","33.10"
"1385","2020-07-02 17:00:00.0","32.90"
"1385","2020-07-02 18:00:00.0","30.90"
"1385","2020-07-02 19:00:00.0","28.90"
"1385","2020-07-02 20:00:00.0","26.70"
"1385","2020-07-02 21:00:00.0","25.80"
"1385","2020-07-02 22:00:00.0","24.40"
"1385","2020-07-02 23:00:00.0","23.60"
"1386","2020-07-02 00:00:00.0","21.30"
"1386","2020-07-02 01:00:00.0","22.20"
"1386","2020-07-02 02:00:00.0","22.70"
"1386","2020-07-02 03:00:00.0","22.80"
"1386","2020-07-02 04:00:00.0","19.60"
